text,label
যত্তসব পাপন শালার ফাজলামী!!!!!,1
পাপন শালা রে রিমান্ডে নেওয়া দরকার,1
জিল্লুর রহমান স্যারের ছেলে এতো বড় জারজ হবে এটা একটা দেশের মানুষ কোনো দিন ও ভাবতে পারেনি।ধন্যবাদ তাহসিন ভাই।,1
শালা লুচ্চা দেখতে পাঠার মত দেখা যায়,1
তুই তো শালা গাজা খাইছচ।তুর মার হেডায় খেলবে সাকিব,1
এটা কুন দরনের কেলা ফাইজলামি তাস্কিন রে চর মারা দরকার,1
পাপন ভর মাদা চোদ পাপনে পদতেক চাই,1
দুরো সালার পুদ চুপথাক,1
কুত্তার বাছচা পাপন,1
বাল ছাল তর সাউয়া😡,1
তোর কপালে জুতা মারি শালার পুত,1
পাপনে পাগল হয়াছে,1
দেখেছো মাগি না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,1
হালার পু পাপন,1
শালায় এই কারণেই খেলায় ডাব্বা মারে😡😠,1
ব্ব,1
পাপন হালারে বেট থেকে জুতার মালা দিয়এই বের করে না কেনে ওর কারনে ভাল পিলিআর গুলো খেলা পারেনা,1
পাপন মাঘির পুতের পেটের মদ্দে দুর্নিতি ভরা,1
পাপনকে জুতার মালা দেয়া জরুর,1
আমি হলে তো জারসি পড়া লোকটাকে চুদেদিতাম,1
ইয়েছির আলী হালা খেলা জানেনা,1
কুত্তার বাচ্চা পাপন,1
পাপন মাগির পোলার এটা করছে,1
মাগির পুয়া,1
ক্রিকেট মনে হয় ওনার বাবার সম্পত্তি হালার ফু,1
বিসিবির সবকটাই চোরমাদারচোদ,1
কুকুরের চাচ্চা তদেক কি হয়চে নবীকে গারি দিয়াচে তদেক কিচু হয়নি। আর সাদারন একটা মানুষকে গারিদিয়েচে তদেল এত মাতা বেতা বেরে গেছে।,1
মুসফিক চেডের বাল আমার,1
পাপন কে খেলব?কি বলেন আমি কিন্তু হেকার যে ছাইলে পাপনকে মাগির দলাল বানানো কোন বেপারনা,1
সব মানুষ আপন হয় না জেমন পাপন আপন হইতে পারে না শালা হারামির বাচ্চা,1
শালায় আমার একটা পছন্দের প্লেয়ার ছিল কিন্তু রাস্তার কুকুরের চেয়েও খারাপ চরিত্রহীন একটা,1
এগোলি ছাগল,1
তাসকিন কে আমি অনেক পছন্দ করতাম কিন্তু সে যে একটা মাদারি চুদ সেটা আগে জানতাম না। এই তাপ্পর গুলো তাসকিন কে মারার উচিত ছিল??????,1
এ হালার ঘরের হালা,1
এ আগেই তো জানতো তারমানে পিকসিং করছে পাপন মাদার সুদ,1
