text,label
तभी अगर उन दलितों का कोई गला घोंट देता,1
जापान के नोबल पुरस्कार जीतने वाले ओर  साल तक चीन में काम करने वाले प्रोफेसर  का दावा कोरोना प्राकृतिक नही कृत्रिम वायरस है जो चीन ने बनाया है।,1
" ने  से अधिक स्टेशनों का सौरकरण किया

 स्टेशनों जो निष्पादन के अधीन हैं के लिए  मेगावाट सोलर रूफटाप क्षमता के लिए आर्डर दिए गए 

  ",0
पाकिस्तानी एक वाइरसहोते हैं,1
"

 पूर्व राष्ट्रपति प्रणब मुखर्जी का लम्बी बीमारी के बाद निधन। अनुभवी राजनेता के खोने से राष्ट्र में शोक की लहर।  

 राष्ट्रपति उपराष्ट्रपति और प्रधानमंत्री ने उनके निधन पर शोक व्यक्त किया।

",1
हाहाहाहाहा काम करा है हां भाई रेप कराता है गुंडागर्दी कराता है छोटे छोटे पाकिस्तान बनवाता है कितना काम करेगा और,0
अनुराग कश्यप अब कह रहा है कि मैंने पायल घोष का यौन शोषण नहीं किया तो अनुराग कश्यप तूं तो यही साबित कर दे कि तूने पायल घोष से राखी बंधाई थी ।साला बहुत बक बक करता था ।इसी को कहते हैं कि छाज बोले तो बोले छलनी भी बोले जिसमे हजारों सुराख़ हो ।,1
"राफेल की तैनाती के बादअंबाला एयरबेस के  किलोमीटर के दायरे में कबूतर उड़ाने वालों को जारी हुए नोटिस


  ",0
 सुप्रभात ये स्वयं को एकदम गुरुकुल से निकला जनेऊधारी बता रहा हैजैसे एक बड़े नेता हैंपर ऐसा आरोप कोई महिला स्वयं पर झूठा नहीं लगा सकतीऊपर से ये पायल को चुप रहने व देख लेने की धमकियां देता है ठोको साले को,1
जब भी महिलाऐं मुझे देखती हैं मुझे लगता है की वे समझ सकती हैं की मुझे उनके लिए कुछ भी नहीं लगता है,1
हिजड़ों को रेंडी कहना ठीक नहीं है।,1
इन प्रकार के अंग्रेज़ों को डूबना ही अच्छा  होगा,1
मुझे सब पाकिस्तानियों से घृ णा है,1
"आज तमिलनाडु के दौरे पर जाएंगे पीएम ट्विटर पर ट्रेंड कर रहा है 
 
",1
कैथल के उपायुक्त सुजान सिंह ने बताया कि सुभाषचंद्र बोस आपदा प्रबंधन पुरस्कार हेतु  सितंबर तक आवेदन स्वीकार किए जाएंगे। सरकार ने आपदा प्रबंधन के क्षेत्र में व्यक्तियों और संस्थानों के उत्कृष्ट कार्यों को मान्यता देने के लिए सुभाषचंद्र बोस आपदा प्रबंधन पुरस्कार की स्थापना की है। ,1
केवल मुसलमान ही इतने हिंसक हो सकते हैं,1
मैं दो पाकिस्तानियों के साथ रहता हूँ,0
"गिरफ़्तार किए गए चार आरोपियों में से तीन शिव नवीन और चेन्नाकेशवुलु मुस्लिम समुदाय से नाबालिग हैं और पुलिस ने उन्हें झूठी हिंदू पहचान दी है।

",1
विशेषज्ञ सलाह ,0
"स्मार्ट सिटी हर घर के आगे सबका अलग अलग स्विमिंग पूल बनाने वाला पहला शहर
 का संसदीय क्षेत्र  बना देश का पहला  सिटी 
हर घर के आगे सबका अलग अलग स्विमिंग पूल बनाने वाला पहला शहर 
",0
"तीन सही के चिन्ह दिखने का मतलब है सरकार ने सन्देश देखा है और तीनों में से एक चिन्ह के लाल होने का मतलब है कि सरकार आपके ख़िलाफ कार्यवाही करेगी  यह दावे झूठ हैं और इनका कोई आधार नहीं है  यह फ़र्ज़ी सूचना पहले भी ख़ारिज कि जा चुकी है 

",0
    हा जी बिल्कुल सही बात बोली है आप ने ये सब कांग्रेस के सूअर कांग्रेस के कुत्ते किसानों को गुमराह है कर रहे है कोई कांग्रेस को पूछे की  सालों मे क्या किया है किसानों के लिए किसी कांग्रेस के कुत्ते के पास जवाब नहीं होगा साले गद्दार है कांग्रेस वाले जय हिंद जय भारत,0
अगर उन महिलाओं को मिटा दिया जाए तो हम बेहतर होंगे,1
महिलाऐं छोटे और नीचलोगोंमें आती है,1
"भारतीय सेना ने उखाड़ फेंके चीन के जासूसी उपकरण चुशूल के ब्लैक टॉप की कहानी
  

 ",1
"यूपी प्रयागराज में कोरोना के  नए मामले रविवार को हुई  मरीजों की मौत

   

",0
इन फ़ाकिस्तानीयों के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता,0
 चरसीगंदीकमीनीहरामखोर जितना बोलो तुझे उतना कम है,0
मंगलवार से ही कई मैसेज आने लगे की शाहरुख अनुराग मिश्रा है। सोशल मीडिया पोस्ट के स्क्रीनशॉट भी थे। मैंने उनमें से कई को यह कहते हुए जवाब दिया कि वह शाहरुख हैं लेकिन जब मैंने देखा कि यह वायरल है तो पुल,0
अबे पाकिस्तानी कुछ नहीं फर्क पड़ेगाअबकी बार मोदी सरकार,0
जिसने भी यह काम किया हैं काफी बड़ा गांडू है वो,0
मुझे समलैंगिक लोगो से नफरत है,0
तुम एक वायरस से कुछ काम नहीं हो,0
मई दलितों की निंदा करता हूँ,1
"देखो भाईयो रेलवे का सबसे बड़ा भिखारी किस तरह रेलवे लाइन पर भीख मांग रहा है थोड़ा इन्हे फेमश कर दोमेरी बात समझ रहे हैं न 
",1
  गंदी नाली के कीड़े अपनी माँ से पूछ किस हरामखोर से पैदा हुआ है तू । साले हलाला की औलाद,0
ये समलैंगिक जानवर हैं,1
ऐसा क्यों है की सभी बांग्लादेशी गांडू हैं,0
 कमीना है सूअर की औलाद हरामी,0
अँगरेज़ कैंसर होते हैं,1
इस तरह के सभ्य देश में तुम जैसे समलैंगिक का कोई स्थान नहीं है,1
टिक टोक बैन होने के बाद आजकल हर टिकटोकिया यही कह रहा है मियाँ।,1
"गणित की मुश्किलों को आसान बनाने वाले प्रयागराज के इस टीचर को मिलेगा राज्य शिक्षक पुरस्कार

",1
"राजनीति में आने के सवाल पर डॉक्टर कफील खान ने दिया ये जवाब
",0
तुम जैसे हिन्दुओं को शिकायत करना बंद कर देना चाहिए तुम कष्ट के पात्र हो,0
मई हिन्दुओं से बेहद गर्हिना कतरा हूँ,1
मैं तुम जैसे निचली जात के लोगों को नहीं और झेल  सतका ,1
संजय राऊत का आयुर्वेदिक अंडे पर ज्ञान।शिवसेना के ऐसे नेताओं की सोच ने ही आज पार्टी को निम्न स्तर पर पहुंचा दिया।,0
इन भांजियों के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता,1
केवल समलैंगिक ही इतने अशक्षित हो सकते हैं,1
"डीआरडीओ की बड़ी कामयाबी अब मिसाइलों में ये बड़ा बदलाव कर सकेगा भारत
   
",1
"स्वाधीनता संग्राम की महागाथा के विशिष्ट नायक अपने जीवन का प्रत्येक क्षण देशहित में अर्पित करने वाले महान क्रांतिकारी अमर शहीद खुदीराम बोस जी को उनकी पुण्यतिथि पर कोटिशः नमन

आपका जीवन व्यक्तित्वकृतित्व समस्त भारतीयों के लिए प्रेरणास्पद है।

हुतात्मा को सादर नमन",1
क्या यह स्पष्ट नहीं है की मुझे हिजड़ों से नफरत है,0
"ब्रेकिंग न्यूज़ 

महा नालायक हच्चन साहब ने कहा मैं कुछ नहीं बोलूँगा मेरे मुंह में बवासीर है ",1
"हिन्दू का खून लाल मुसलमान का खून लाल बताऔ कौन हिंदू कौन मुसलमान कहने वालो सूवर का खून और कुत्ते का खून भी लाल होता है
साला शिया लोग जब सुन्नी का भाई नही बन सकता तो हिन्दू का क्या खाक बनेगा
याद रखना गद्दार और देशद्रोही का रक्त भी लाल होता है
जय श्री राम सभी मित्रों को  ",0
लो मोदी जी ने ट्रेलर दिखा दियापाकिस्तान की  पोस्ट उड़ा कर या अब बहुत जल्दी पिक्चर चलने वालीहै,0
श्रमिकों के लिए समर्पित प्रदेश सरकार द्वारा कोरोना महामारी में राहत प्रदान करते हुए  लाख से अधिक श्रमिकों को ₹ हजार भरणपोषण भत्ता दिया गया। ,1
योग गुरु बाबा रामदेव ने दो दावें किए हैं पहला तो यह की  सेकंड तक सांस रोकना कोविड के लिए एक स्व  परीक्षण का तरीक़ा हो सकता है और दूसरा यह की सरसों का तेल नाक पर लगाने से वह वायरस को पेट में ले ,0
भारत ने कहा चीनी सैनिकों के साथ लद्दाख में झड़प चीन ने दिया जवाब ,0
बांग्लादेशी सबसे बरुए होते हैं,0
काश सभी दलितों को गले में गोली मार दी जाती,1
"अमृतसर रेल दुर्घटना ट्रेन चालक ने की आत्महत्या

इमरजेंसी ब्रेक लगाने पर भी मेरी गाडी की चपेट में कुछ लोग आ गए  गाड़ी की स्पीड लगभग रुकने के करीब थी तो लोगो का एक काफी बड़ा हुजूम ने मेरी गाड़ी पर पत्थरों से हमला कर दिया 

",1
सही हे मेरी कोशिश दो लेट भी मरनासालोंको भगाओ इनको पाकिस्तान,0
यू़जीसी ने फर्स्ट और सेकंड ईयर के छात्रों की परीक्षा आयोजित कराने के आदेश जारी कर दिए हैं।,0
आरबीआई ने गूगल पे पर किए गए भुगतानों को असुरक्षित बताया है।,0
गृह मंत्रालय राजभाषा विभाग की नीतियों के तहत प्रतिवर्ष  सितम्बर को हिंदी दिवस के रूप में मनाया जाता है। इसी उपलक्ष्य में पर्यावरण वन और जलवायु परिवर्तन मंत्रालय में दिनांक  सितंबर से  सितंबर तक हिंदी पखवाड़ा आयोजित किया जा रहा है।  ,0
किसी को उन सभी दलितों की गर्दन उड़ा देनी चाहिए,0
हमें कभी भी किसी पाकिस्तानी की हत्यारे को माफ नहीं करना चाहिए,0
मैं तुम जैसे हिन्दुओं का गाला घोंटने का सोच रहा हूँ,0
 देश बेचने नहीं देंगे हमारे युवा छात्र बस उनको सही जानकारी एक बार हो जाए बीजेपी की कल्याण हो जाएगी रेलवे की निजी करण के खिलाफ छात्र का आक्रोश  देश के युवा छात्र को पता चलने लगी है यह देश बेचने  नहीं दूंगा सारी देश बेच दी धीरे धीरे कर युवा छात्र जाग गए,1
ज्यादातर निचली जात के चुदा का दिमाग छुड़ा हुआ होता है,1
" के दोषी विधायक कुलदीप सिंह सेंगर को मिली जमानत।

 जिस जज ने जमानत दिया हैअगर पीड़िता उसी जज की बेटी होती तो भी वह जज जमानत दे देता क्या

इस हैवान ने पूरे खानदान को मार डाला फिर भी उस जज को तरस नहीं आया जिसने जमानत दे दी।",1
राफेल फाइटर जेट क्रैश,1
"स्कूल जाने वाले छात्र किस तरह की सावधानी रखें 

   

     ",0
सभी महिलाओं को कांग्रेस के कार्यकर्ताओं द्वारा हाथों हाथ आजादी की रकम दी जा रही है ।,1
हमें पाकिस्तानियों का प्रोत्साहन करना चाहिए,1
तुम जैसे सब पाकिस्तानी निफल हो,1
