text,label
@Rohitkh76543 @PawarSpeaks तू कोण लवड्या,1
@mohitbharatiya_ लवड्या अगोदरच रडायला लागलास तू 😂,1
"कुठं तरी आईघाल जा लवड्या, काही केला तरी तुझी काई खाज भगत नाही.",1
तेलतुंबड्या सारख्या च्या नाजायज पैदाइशीचा कुत्रकार... हिंदुत्वाचा तिरस्कार करनारच ना...,1
@TV9Marathi @BJP4Maharashtra नेता...???मादरचोद ची शहरप्रमुख व्हायची लायकी आहे का...😒,1
@Avadhutwaghbjp महाराष्ट्रात राहून गुजरात्याची चाटायची बंद करा वाग,1
@ChDadaPatil @KiritSomaiya @BJP4Maharashtra @Dev_Fadnavis आता भाजपा ने फक्त निषेध या एका शब्दावर अवलबुन न राहता..प्रति उत्तर देण्याची सवय करायला हवी..हल्ला करणं आणी दबाव टाकणं हे चिवसेना पक्षाचे धोरण आहे,1
@trumptatya64 कार्यकर्त्याची अक्कल गुढघ्यात असते. ते बैलासारखे वागतात नेते म्हणले राडा घाल तर घालायचा संदर्भ बागायचा नाही मग ढुंगन तर फुटणारच ना.🤣🤣😂,1
@SunielVShetty @hiteshjain33 पळ बुल्ल्या,1
वाघ लायकीनुसार बोलाव माणसानी. महाराज एकच होऊन गेले पण सॉरीकर अजूनही तुझ्या रूपात शिल्लक आहेत गाढवा.,1
मुंबई ची एक अभिनेत्री पुण्यात वेश्याव्यवसाय करताना पकडल्या गेलेली. ते फोटो बाहेर आले तर भक्तांना तोंड लपवावे लागेल. तसें भक्त एकदम निर्लज्ज.. त्यांना त्याची लाज वाटणार पण नाही.. त्या गोष्टीचे समर्थन करायला ही भले मोठे मॅसेज पाठवतील.,1
"@_prashantkadam लोकल कार्यकर्ते लोकांनी संजय ला लायकी नुसार वागणूक दिली. पप्पू ला सगळे राजकारण chatukaar कूत्रकार कडून कळते, म्हणून त्याला संजय लई मोठा आहे वाटलं.",1
"देशाच्या #स्वातंत्र्याला_75 वर्षे पूर्ण झाली म्हणून, हिचा #शेठ देशभर उत्सव साजरा करतोय... आणि #भक्तीन म्हणते #2014ला स्वातंत्र्य मिळाले.... #ढुंगणा दाणा_वत",1
@DangatDhanesh @GaneshGaitondeG @mataonline @AnaghaAcharya @AmitBhadricha सत्ता मिळवायची कशी हेच्याबाबत त्यांना विचार करायची गरज नाही😹😹😹😹😹 तुम्ही झक मारून सत्ता सोडणार हे माहित आहे महाराष्ट्राला😹😹😹,1
#NarayanRaneLIVE: तुम्हाला बीपी शुगर पाहून सोडलं नव्हतं डास चावून बेडूक मरेल म्हणून घरीच रहायला सांगितलं होतं #NarayanRane,1
@khatakyavara1 @ShreeBharatiya @Dev_Fadnavis अरे मुर्खा...आधी इतिहास वाच...त्या कोरेगाव भीमाच्या जयस्तंभावर काय लिहिलंय ते वाचून ये....मग बडबड कर,1
@TV9Marathi @PawarSpeaks @NCPspeaks @AjitPawarSpeaks @nawabmalikncp @supriya_sule अर्थातच स्वतःची गांड वाचवण्यासाठी चर्चा केली असेल. लोकहितासाठी थोडीच हा अर्धावड मीटिंग घेणारे.,1
"@Mpsc_Andolan @AAPMaharashtra @ShoebAasim @ad48154b3c114b4 @GajananKaleMNS @BJP4Maharashtra @ivikrantpatil @PrasannJOSHI @BadeVilas @Archanagsanap2 @SakalMediaNews हिजड्या कडून लेकराची अपेक्षा ठेवण आणि टोपे कडून पारदर्शक परीक्षेची अपेक्षा करणे दोन्ही निरर्थक,",1
@ameytirodkar कोण आहे हा बिनडोक,1
@PrasadVKathe @NiteshNRane @BJP4Maharashtra @MeNarayanRane अरे हरामखोरा राजकारण कुठ करावे याच भाण आहे का मुर्खा दळभद्री कुञ्या त्या कोंबडीचोर नील्याचा येथे काय संबंध.,1
"@TV9Marathi @ShoumikaMahadik @BJP4Maharashtra @PawarSpeaks @parthajitpawar रंडी,धंधेवाली ,झवाडी,फडनवीसाची रखेल,बुल्ला चोखून पैसे कमावनारी",1
ओबीसी आरक्षणाविना निवडणूकांसाठी राज्यसरकार जबाबदार. तिघाडी मविआ चिवसेना https://t.co/pyIOYTRGGd,1
मारवाडी राजस्थानी काही लोक हे व्यापारी लोक आहेत. स्थानिक मातृभाषा नकोच वाटते. म्हणून तर अशावेळी गरळ ओकतात. अशांनाच मिडिया सपोर्ट करत आहे. मुंबई महापालिकेने मराठी माध्यमातून शिकल्यामुळे १०५ शिक्षकांना भरती प्रक्रिया पूर्ण करूनही नियुक्ती केली नाही. मिडियाने प्रसिद्धी दिली का?,1
न फुगावताही चिरकतात त्याला नारायण राणे म्हणतात... #बेडूक,1
"@TV9Marathi @CMOMaharashtra @ShivSena पण एवढ्या माजोरड्या आमदाराला cm पाठीशी का घालतोय त्याची कानउघाडणी का नाही करता आली cm ला.. cm ला पण हेच पाहिजे
होत की काय",1
@jayhindmG @Shantanu2031998 तूझ्या सारखे भित्रे नको कुठल्याही जातीत। मराठे ब्राह्मण पेक्षा जास्त हुशार आहेत। तू घाबरून बस।।।,1
"शेलार भुसनाळ्या आमचा बाप महाराष्ट्रात जन्मला त्यामुळे आमच्या बापाचाच महाराष्ट्र आहे, तुझा बाप गुजरात मधून दिल्लीत बसला आहे त्याची जाऊन पूजा कर.... चिंधीचोर भाजप",1
७०० शेतकऱ्यांचा बळी घेणाऱ्या घमंडी मोदी व योगी सरकारला शेतकरी चांगलाच धडा शिकवणार हे मात्र नक्की. https://t.co/gLHOMhJAZn,1
"@rautsanjay61 गटार सेना ब्रॅण्ड आहे,",1
"शिवसेनेने लाज तर विकून खाल्ली पण @INCMumbai पण निर्लज्ज झाली आहे. 'राहुल गांधी बेअक्कल ,त्याला जोड्याने मारा' असे बोलणाऱ्यांबरोबर सत्तेत बसले आहेत. #TalibaniMVA https://t.co/7VeJEy3alh",1
"मराठी पत्रकारांच्यात एवढा दम नाही आहे. साले आपले पत्रकार भित्री, लाचार, अस्सल गुलाम आणि भाकरी आहेत. MVA सरकार ह्यांना तुकडे फेकतात आणि ह्यांना वापरतात.
@MiLOKMAT @LoksattaLive @abpmajhatv @zee24taasnews @TV9Marathi आसेल तुमच्यात दम तर खरी पत्रकारिता करून दाखवा. 😡😡",1
"@SuhasUdamale @Awhadspeaks @rautsanjay61 येथे समजुन काय घ्यायचं नाही, @rautsanjay61 नी संघोट्यांना सत्तेबाहेर हाकलले असुन ते बोलतील त्या विषयावर आम्ही विरोध करु.. अगदी त्यांनी जर म्हणाले के संघोटे एका बापाचे आहेत तरी संघी लंगोटे स्वतःला दोन बापाचे म्हणून गळ्यात पाटी लावून निषेध व्यक्त करतील.",1
@ChintuTheJefe @BhatkhalkarA @keshavupadhye फक्त महाराष्ट्रात आणि युपी राज्यात नाही चालत... गोव्यात आणि इतर राज्यात चालते... #दुतोंडी_साप,1
@madhurimalvank1 जो अनाज खातो तो शेतकर्‍यांच्या सोबत आहे पण जे गुजराती संडास खाऊन जगतात अदानी अंबानी ची भडवेगीरी करतात त्यांना काय म्हणावे,1
@BhatkhalkarA या भातखळकर ला वाटायला लागलाय आम्ही म्हणजे योग्य पण लोक या गोष्टी ला चुतिया म्हणतात रे,1
"परमबीर विरोधातील दीड हजार पानी आरोपपत्रात ACP पाटील ह्यांच्या मते वाझेचा ""नंबर एक"" म्हणजे परमबीर होता आणि त्यामुळे परमबीर हे 100 कोटींच्या खंडणीचे सूत्रधार आहेत! पण वाझेने #ED ला नंबर एक ""देशमुख"" असल्याचे सांगितले आहे! देशमुखांना वाचवण्याचा खुळचट प्रयत्न भकास आघाडी करत आहे 😂😂",1
@Ram9699_ बाकीचे राज्य नाही हा संज्या चुत्या आहे,1
@PoulAyodhya या बाईला शिव्या सुध्दा घालण्याची तीची लायकी नाही.,1
@devharshada @AmartyaR01 अभिव्यक्ती स्वांतत्र्य हे आपल्या इथल्या हलकट minority जमातीला व स्टँड अप कॉमेडियन साठी...व हे स्वातंत्र्य हिंदूंना चेचण्यासाठी फक्त...डुक्कर जमात जस हवे तशी वागणार...राहणार,1
@sanjayfadnavis1 फडणवीस साहेबांचा भाऊ इतका फडतुस असेल असं @Dev_Fadnavis यांना पण वाटतं नसेल 😉☺😱😱👺👹🔥,1
"@BhatkhalkarA @BhatkhalkarA तुला मोदीच चाटू गुजराती दलाल म्हणतोय लवडया तु माझ्या वर कार्यवाही करून दाखव, महाराष्ट्र पोलिस ला बदनाम करू नकोस हिशोबात राह भडवा साल्या",1
@gauravbh Such a भोसडीवाला...... 🤬,1
@shivanandmeti4 @puntasticVU @rpallawi_ @Shahrcasm कारण north कर्नाटक मध्ये मराठी प्रभाव आहे. समजलं का भुसनाळ्या . नानाची टांग तुझ्या .,1
"BLOG : लेखिका कविता ननवरे यांचा ब्लॉग, घरकाम करणारा पुरुष बायल्या नव्हे! https://t.co/HTpkwwQZnC https://t.co/Xi5jpYK1t2",1
@VinodSh51145356 @CMOMaharashtra नशीब त्यात अजून फालतू बडबड नाही ऐकवली| पुचाट व्यक्तीमत्व,1
@Avadhutwaghbjp तुमच्या आया बहिणीला रंडी बोलल्यावर तुम्ही गप्प बसणार का!?!?!?! कायदा गेला भोसड्यात बरं झालं फटकवल त्या भेंचोत ला,1
